status	isa	module	addr	asm_lines	name	note
0	thumb	code_8010F10	0x08012790	2078	SaveUi_LoadScreen	⏸ 2026-09-02 gpnux: 存档/场景选择 UI 主状态机；扫描 gSaveMapUnlockFlags 并以 SaveFlag_Get 判断可用场景，确认后调用 MapScene_Load；已完成语义改名，保留原始 asm；fncheck OK (4320B)
0	thumb	code_8010F10	0x08013870	100	sub_8013870	⏸ 2026-09-03 opencode: 新进展: v13(src后赋)整函数寄存器全对, 仅prologue缺src→r8(w落r8非r9)→53B(多为偏移级联); permuter最佳490=cand_490_best.c: `int new_var=0xFE`顶赋(低pri长活值→r8, 规则117: 4次/158insn pri~506)使填零块逐字节命中, 剩~21真实字节=①prologue r8装new_var非src ②串src=ldr r4,=const非mov r4,r8 ③转义比较cmp r1,r8非立即#0xfe; 根因=目标把src基址留r8(仅mov r4,r8一次用, 需低pri allocno), 但src作迭代器(14次/34insn pri~12353)必落r4(v16轮换), 单独成变量又折叠(p=src被常量传播); 穷举~35变体(声明序/int别名/命名符/全局符/双向迭代/-g)未破; 下一步按规则117抬fill值pri或拆src基址+迭代器且防折叠
0	thumb	code_8010F10	0x08013934	236	sub_8013934	
0	thumb	code_8010F10	0x08013b0c	127	sub_8013B0C	
0	thumb	code_8010F10	0x08013c00	409	sub_8013C00	
1	thumb	code_8010F10	0x08013f3c	85	Save_LoadSlot0	
1	thumb	code_8010F10	0x08013fe8	80	Save_LoadContinue	
1	thumb	code_8010F10	0x08014084	41	SaveTimer_CountUsed	
1	thumb	code_8010F10	0x080140d0	44	SaveTimer_Inc	
1	thumb	code_8010F10	0x08014124	46	SaveTimer_Dec	
0	thumb	code_8010F10	0x0801417c	388	sub_801417C	
1	thumb	code_8010F10	0x08014488	107	sub_8014488	
1	thumb	code_8010F10	0x0801455c	157	sub_801455C	
0	thumb	code_8010F10	0x080146a8	481	sub_80146A8	
0	thumb	code_8010F10	0x08014a68	1228	sub_8014A68	
1	thumb	code_8010F10	0x0801543c	88	sub_801543C	
0	thumb	code_8010F10	0x080154e8	198	sub_80154E8	
0	thumb	code_8010F10	0x08015658	558	sub_8015658	
1	thumb	code_8010F10	0x08015af0	73	sub_8015AF0	⏸ 无候选; 逻辑全解(0x020059AA/0x02005BEA 两处 tilemap 写 + gUnk_08093550[gSaveUiParam*8+gUnk_03000228+4] 查表); 卡 GCC2 store 基址调度(目标把 ldr 基址插在 (bit|0x826) 之后, 我方提前物化); 需 gUnk_03000228(IWRAM)/gUnk_08093550(ROM) 符号; 详情 progress.md
1	thumb	code_8010F10	0x08015b90	60	InvUi_DrawCursors	
0	thumb	code_8010F10	0x08015c18	245	InvUi_Main	
0	thumb	code_8010F10	0x08015e1c	59	sub_8015E1C	⏸规则17类寄存器分配硬骨头: 语义已全解(Text_PutGlyph 内联版+0xFF终止循环, dest=gWindowBgBuf/2+arg0+arg1*32, attr=arg2<<12 每分支各写, b==0空白/0xFE→0x280/else b*2, dest[0]=attr+tile & dest[0x20]=attr|(tile+1)); 2026-09-04 agent1 改进: 去p变量用arg3直接+链式赋值dest[0]=(dest[0x20]=attr+1) 至 fndiff 960/bytecmp 65/104B(原70/104); 残留=prologue r2↔r3置换(arg2→r3 vs r2, base→r2 vs r3)+dest+64 hoist(r3) vs recompute(r2)+tile r2 vs r3+dest r6 vs r2; 候选 base.c(permuter 620分版)
1	thumb	code_8010F10	0x08015e88	10	Save_ResetReadState	
1	thumb	code_8010F10	0x08015ea0	20	Save_StartWrite	
1	thumb	code_8010F10	0x08015ed0	36	sub_8015ED0	✅ 2026-09-02 qwen: arg0>3?0xFF: 比较 gUnk_02021000+arg0*0x2000 前12B 与 gSaveSignature, 不符返1 否则0; 原型 void()→s32(u8) 无调用方; fncheck OK 68B
1	thumb	code_8010F10	0x08015f14	30	SaveUi_DrawSlots	
1	thumb	code_8010F10	0x08015f50	19	SaveTimer_Get	
1	thumb	code_8010F10	0x08015f74	16	SaveFlag_Set	
1	thumb	code_8010F10	0x08015f94	16	SaveFlag_Get	
1	thumb	code_8010F10	0x08015fb4	63	SaveUi_Open	
1	thumb	code_8010F10	0x08016038	21	sub_8016038	✅ 2026-09-02 qwen: gPartyMemberIds[arg0]!=0xFF → LZ77UnCompWram(gUnk_087EB2E0[id],0x02020000); fncheck OK 48B; 全ROM绿
