addr,status,kind,module,name,rom_size
0x0801be34,0,,code_801A3C4,sub_801BE34,1616
0x0801c484,0,,code_801A3C4,sub_801C484,1412
0x0801ca08,0,,code_801A3C4,sub_801CA08,412
0x0801cba4,0,,code_801A3C4,sub_801CBA4,732
0x0801ce80,0,,code_801A3C4,sub_801CE80,272
0x0801cf90,0,,code_801A3C4,sub_801CF90,412
0x0801d12c,1,,code_801A3C4,sub_801D12C,112
0x0801d19c,0,,code_801A3C4,sub_801D19C,120
0x0801d214,0,,code_801A3C4,sub_801D214,356
0x0801d378,0,,code_801A3C4,sub_801D378,240
0x0801d468,0,,code_801A3C4,sub_801D468,256
0x0801d568,0,,code_801A3C4,sub_801D568,424
0x0801d710,0,,code_801A3C4,sub_801D710,628
0x0801d984,0,,code_801A3C4,sub_801D984,284
0x0801daa0,0,,code_801A3C4,sub_801DAA0,156
0x0801db3c,0,,code_801A3C4,sub_801DB3C,228
0x0801dc20,0,,code_801A3C4,sub_801DC20,228
0x0801dd04,0,,code_801A3C4,sub_801DD04,172
0x0801ddb0,0,,code_801A3C4,sub_801DDB0,148
0x0801de44,1,,code_801A3C4,sub_801DE44,152
0x0801dedc,0,,code_801A3C4,sub_801DEDC,180
0x0801df90,0,,code_801A3C4,sub_801DF90,176
0x0801e040,0,,code_801A3C4,sub_801E040,408
0x0801e1d8,0,,code_801A3C4,sub_801E1D8,308
0x0801e30c,0,,code_801A3C4,sub_801E30C,456
0x0801e4d4,0,,code_801A3C4,sub_801E4D4,444
